name,price,type,efficiency,wattage,modular,color
GameMax RGB Rainbow,109.99,ATX,gold,850,Full,Black
Corsair SF600,195,SFX,gold,600,Full,
EVGA 500 BQ,,ATX,bronze,500,Semi,
be quiet! Pure Power 12 M,159.99,ATX,gold,1200,Full,Black
EVGA 750 B5,99.99,ATX,bronze,750,Full,Black
CoolMax ZX-500,39.99,ATX,plus,500,false,
Segotep GM,,ATX,gold,750,Full,Black
EVGA SuperNOVA 550 G3,138.99,ATX,gold,550,Full,
Corsair HX1500i (2022),399.99,ATX,platinum,1500,Full,Black
Asus ROG THOR 850P,349.99,ATX,platinum,850,Full,Black / Red
SeaSonic G12 GC,107.79,ATX,gold,650,false,Black / Blue
Corsair RM750x SHIFT,109.99,ATX,gold,750,Full / Side,Black
Corsair RM850,197.94,ATX,gold,850,Full,Black
Deepcool PM850D,87.98,ATX,gold,850,false,Black
Asus ROG LOKI,189.99,SFX,platinum,750,Full,Black / Silver
Aerocool LUX RGB 750M (230V EU),86.37,ATX,bronze,750,Semi,Black
be quiet! Pure Power 9 CM,106.69,ATX,bronze,600,Semi,Black
Corsair CX650M,199.99,ATX,bronze,650,Semi,
Deepcool PK750D,,ATX,bronze,750,false,Black
SeaSonic FOCUS GX,,ATX,gold,650,Full,Black
EVGA SuperNOVA 1000G XC,149.99,ATX,gold,1000,Full,Black
EVGA SuperNOVA 650 G5,113.7,ATX,gold,650,Full,Black / Green
Asus ROG THOR P2 Gaming EVA Edition,504.44,ATX,platinum,1000,Full,Black / Silver
Thermaltake Toughpower GF1 PE,95,ATX,gold,750,Full,Black
Raidmax XT,30.99,ATX,,400,false,
EVGA SuperNOVA 750 G3,299.99,ATX,gold,750,Full,
Cooler Master M2000,,ATX,platinum,2000,Full,Black
Fractal Design Ion Gold,121.13,ATX,gold,550,Full,Black
Thermaltake Toughpower GX1,98.14,ATX,gold,600,false,Black
Silverstone SX1000-LPT,232.11,SFX,platinum,1000,Full,Black
SeaSonic G12 GM,,ATX,gold,750,Semi,Black / Blue
Thermaltake Toughpower GX3,89.99,ATX,gold,850,false,Black
EVGA 750 N1,91.99,ATX,,750,false,
EVGA 650 N1,82.85,ATX,,650,false,
Corsair SF450,199.96,SFX,platinum,450,Full,Black
EVGA 600 BQ,175.99,ATX,bronze,600,Semi,
Asus ROG Strix Aura Edition,239.99,ATX,gold,1200,Full,Black
Cooler Master Elite 400 V3,63.49,ATX,plus,400,false,Black
be quiet! Straight Power 11 750W,260,ATX,gold,750,Full,
Apevia Galaxy,79.98,ATX,gold,1000,Semi,Black
Deepcool PK600D,,ATX,bronze,600,false,Black
Corsair CX450M (2015),,ATX,bronze,450,Semi,
SeaSonic FOCUS PX,175.99,ATX,platinum,850,Full,Black
Corsair RM850x,180.98,ATX,gold,850,Full,
Deepcool PF700 230V,,ATX,plus,700,false,Black
be quiet! Pure Power 11 600,124.19,ATX,gold,600,false,Black
EVGA 850 BQ,119.21,ATX,bronze,850,Semi,
Silverstone SFX,95.38,SFX,bronze,450,false,Black
Silverstone HELA 1200R,253.05,ATX,platinum,1200,Full,Black
EVGA 850 GQ,191.23,ATX,gold,850,Semi,
EVGA SuperNOVA 1000 G5,159.99,ATX,gold,1000,Full,Black / Green
SeaSonic PRIME TX,439.99,ATX,titanium,1300,Full,Black / Silver
Corsair CX550M,191,ATX,bronze,550,Semi,
be quiet! Straight Power 12,239.9,ATX,platinum,1500,Full,Black
be quiet! Dark Power 13,209.9,ATX,titanium,750,Full,Black
Enermax REVOLUTION D.F. 2,113.99,ATX,gold,850,Full,Black
Cooler Master G700,,ATX,gold,700,false,Black
SeaSonic VERTEX GX-1000,215.99,ATX,gold,1000,Full,Black / Silver
EVGA SuperNOVA 1000 G7,239.99,ATX,gold,1000,Full,Black / Blue
SeaSonic FOCUS GX,,ATX,gold,550,Full,Black
Cooler Master MWE Bronze V2,,ATX,bronze,600,false,Black
Silverstone FX350-G,94.09,Flex ATX,gold,350,false,Black
NZXT C750 (2023),,ATX,bronze,750,false,Black
Thermaltake Smart BM2,,ATX,bronze,650,Semi,Black
Corsair HX1000i,429,ATX,platinum,1000,Full,
Corsair CV450,,ATX,bronze,450,false,Black
be quiet! Pure Power 11,,ATX,bronze,300,false,Black
Corsair HX850 Platinum,268,ATX,platinum,850,Full,
Silverstone DA650 Gold,,ATX,gold,650,Full,Black / White
SeaSonic VERTEX PX-1200,329.99,ATX,platinum,1200,Full,Black / Silver
GameMax RGB Rainbow,,ATX,gold,550,Full,Black
EVGA 850 B5,112.44,ATX,bronze,850,Full,Black
Thermaltake Smart RGB 230V,140,ATX,plus,500,false,Black
Raidmax RX-530SS,44.99,ATX,,530,Semi,
Deepcool DQ750-M-V2L,174.57,ATX,gold,750,Full,Black / Green
Silverstone SFX,73.94,SFX,bronze,300,false,Black
Corsair VS350,,ATX,plus,350,false,Black
Corsair CX600,,ATX,bronze,600,false,
Corsair CX650 (2017),143.97,ATX,bronze,650,false,
EVGA 500 GD,104.99,ATX,gold,500,false,Black
be quiet! Straight Power 11 850W,260.02,ATX,gold,850,Full,
Asus TUF Gaming,,ATX,bronze,750,false,Black
SeaSonic FOCUS,135.61,ATX,gold,850,Semi,Black
Apevia Signature,69.98,ATX,bronze,1050,Semi,Black
SeaSonic VERTEX PX-1000,279.99,ATX,platinum,1000,Full,Black / Silver
Cooler Master XG850 Plus,132.99,ATX,platinum,850,Full,Black
Deepcool PQ750M,,ATX,gold,750,Full,Black
SeaSonic FOCUS SGX,,SFX,gold,650,Full,Black
EVGA SuperNOVA 650 G3,,ATX,gold,650,Full,
SeaSonic FOCUS GX-750 ATX 3.0,139.99,ATX,gold,750,Full,Black
EVGA SuperNOVA 1600 G2,549,ATX,gold,1600,Full,
Corsair RM650,204.99,ATX,gold,650,Full,Black
Montech CENTURY G5,,ATX,gold,850,Full,Black
Silverstone Extreme 850R Platinum,224.37,SFX,platinum,850,Full,Black
EVGA SuperNOVA 650 GM,,SFX,gold,650,Full,Black
SeaSonic B12 BC,,ATX,bronze,750,false,
Corsair HX750 Platinum,339.99,ATX,platinum,750,Full,
EVGA SuperNOVA 850G XC,139.99,ATX,gold,850,Full,Black
FSP Group Dagger Pro,136.99,SFX,gold,650,Full,Black
Corsair RM750x White (2018),225,ATX,gold,750,Full,White / Black
Corsair RM650 (2019),210.1,ATX,gold,650,Full,Black
SeaSonic PRIME TX-850,487.73,ATX,titanium,850,Full,Black
Deepcool PK700D,,ATX,bronze,700,false,Black
Corsair RM750,195.98,ATX,gold,750,Full,Black
SeaSonic G12 GC,,ATX,gold,750,false,Black / Blue
Cooler Master MWE Bronze V2,,ATX,bronze,550,false,Black
Silverstone DA750 Gold,152.08,ATX,gold,750,Full,Black / White
be quiet! System Power 9 CM,155.74,ATX,bronze,400,Semi,Black
Corsair TX550M Gold,,ATX,gold,550,Semi,
Cooler Master V650 V2,,ATX,gold,650,Full,White
be quiet! Pure Power 11,,ATX,gold,700,false,Black
be quiet! Dark Power Pro 11,,ATX,platinum,650,Semi,
Phanteks AMP v2,167.3,ATX,gold,1000,Full,Black
Deepcool PF400 230V,,ATX,plus,400,false,Black
Corsair TX650M,,ATX,gold,650,Semi,Black
Thermaltake Toughpower SFX,169.99,SFX,gold,1000,Full,Black
Phanteks Revolt SFX,199.99,SFX,platinum,850,Full,Black
NZXT C650 (2022),,ATX,gold,650,Full,Black
EVGA SuperNOVA 1000 P2,,ATX,platinum,1000,Full,
PowerSpec PS 650BSM,,ATX,bronze,650,Semi,Black
Corsair AX1000,,ATX,titanium,1000,Full,Black / Silver
Corsair VS550 (2018),,ATX,plus,550,false,
Super Flower Leadex Platinum SE,149.99,ATX,platinum,1000,Full,White
Cooler Master MasterWatt 550,90,ATX,bronze,550,Semi,
EVGA SuperNOVA 850 P6,208.91,ATX,platinum,850,Full,Black / Silver
Phanteks AMP v2,,ATX,gold,1000,Full,White
Raidmax Cobra,,ATX,bronze,700,false,
EVGA SuperNOVA 750 G5,152.91,ATX,gold,750,Full,Black / Green
Corsair RM750x,174.94,ATX,gold,750,Full,
Thermaltake Toughpower GF3 TT Premium,179.99,ATX,gold,1200,Full,Black
Thermaltake Toughpower TF1 - TT Premium,449.99,ATX,titanium,1550,Full,Black
Deepcool PK550D,,ATX,bronze,550,false,Black
Thermaltake Toughpower GF3 TT Premium,184,ATX,gold,1350,Full,Black
ADATA XPG PYLON,,ATX,bronze,750,false,Black
EVGA SuperNOVA 850 G2,,ATX,gold,850,Full,
EVGA SuperNOVA 650 G2,,ATX,gold,650,Full,
Corsair RM850x (2018),,ATX,gold,850,Full,White / Black
NZXT C750,,ATX,bronze,750,Semi,Black
EVGA SuperNOVA 550 G2,,ATX,gold,550,Full,
Corsair CX750F,,ATX,bronze,750,Full,White / Black
be quiet! Dark Power Pro 12,,ATX,titanium,1200,Full,Black
Corsair CX500M,,ATX,bronze,500,Semi,
Cooler Master MWE Gold 650,,ATX,gold,650,Full,Black
EVGA SuperNOVA 1000 G6,193.54,ATX,gold,1000,Full,Black
Thermaltake Smart,,ATX,plus,430,false,Black / White
Apevia Spirit,,ATX,,600,false,
SeaSonic PRIME Ultra Titanium,495,ATX,titanium,850,Full,
NZXT C650,89.99,ATX,bronze,650,Semi,Black
EVGA SuperNOVA 650 P5,129.99,ATX,platinum,650,Full,Black / Teal
Corsair CX750M V2 (2017 Edition),209,ATX,bronze,750,Semi,Black / White
Deepcool PK500D,,ATX,bronze,500,false,Black
SHARKOON WPM Gold Zero 550,,ATX,gold,550,Semi,Black
Raidmax RX-730SS,54.99,ATX,,730,Semi,
Deepcool PF600 230V,,ATX,plus,600,false,Black
Deepcool PF650 230V,,ATX,plus,650,false,Black
Segotep GP,,ATX,gold,600,false,Black
SeaSonic FOCUS SGX (2021),169.99,SFX,gold,750,Full,Black
Corsair HX1200i,599,ATX,platinum,1200,Full,
Corsair CX600M,,ATX,bronze,600,Semi,
ARESGAME AGV,,ATX,bronze,750,Semi,Black
be quiet! System Power 9 700 CM,160.8,ATX,bronze,700,Semi,Black
Cooler Master MWE Bronze,88.49,ATX,bronze,500,false,Black
be quiet! System Power 9,114.19,ATX,bronze,600,false,Black
Gigabyte UD1000GM PG5 (rev. 2.0),119.99,ATX,gold,1000,Full,Black
EVGA SuperNOVA 850 G6,176.08,ATX,gold,850,Full,Black
Thermaltake Toughpower SFX,149.99,SFX,gold,850,Full,Black
