name,price,core_count,core_clock,boost_clock,tdp,graphics,smt
Intel Core i7-920,90,4,2.66,,130,,true
AMD A6-6400K,75,2,3.9,,65,Radeon HD 8470D,false
Intel Core i3-10300,119.09,4,3.7,4.4,65,Intel UHD Graphics 630,true
Intel Core i9-7980XE,1106.2,18,2.6,4.4,165,,true
Intel Core i5-4570T,68.64,2,2.9,,35,Intel HD Graphics 4600,true
Intel Core i7-6700T,,4,2.8,3.6,35,Intel HD Graphics 530,true
Intel Core i3-550,115.27,2,3.2,,73,Intel HD Graphics,true
AMD Ryzen 5 PRO 7645,,6,3.8,5.1,65,Radeon,true
AMD FX-9370,189,8,4.4,4.7,220,,false
Intel Core i7-7800X,277,6,3.5,4,140,,true
Intel Pentium G3258,51.36,2,3.2,,53,Intel HD Graphics,false
Intel Xeon E5-2630,25.08,6,2.3,,95,,true
Intel Xeon E5-1650 V3,,6,3.5,3.8,140,,true
Intel Core i5-3330,,4,3,,77,Intel HD Graphics 2500,false
Intel Core i5-7400T,82.62,4,2.4,3,35,Intel HD Graphics 630,false
AMD Athlon II X4 640,57.01,4,3,,95,,false
AMD A10-9700,120,4,3.5,3.8,65,Radeon R7 (on-die),false
AMD A4-5300,,2,3.4,,65,Radeon HD 7480D,false
AMD A8-9600,,4,3.1,3.4,65,Radeon R7 (on-die),false
Intel Core i3-4160,,2,3.6,,54,Intel HD Graphics 4400,true
AMD A8-7600,,4,3.1,3.8,65,Radeon R7 (on-die),false
Intel Core i5-4690K,,4,3.5,3.9,88,Intel HD Graphics 4600,false
Intel Core i7-3820,,4,3.6,,130,,true
Intel Core i7-4960X Extreme Edition,775.04,6,3.6,4,130,,true
Intel Xeon E5-2697 V2,,12,2.7,3.5,130,,true
Intel Core i5-2400S,70,4,2.5,,65,Intel HD Graphics 2000,false
Intel Core i7-860,339,4,2.8,,95,,true
Intel Core i7-7700T,489.95,4,2.9,3.8,35,Intel HD Graphics 630,true
AMD FX-8350,192.57,8,4,,125,,false
Intel Core i3-8350K,,4,4,,91,Intel UHD Graphics 630,false
Intel Xeon E5-2697 V4,,18,2.3,3.6,145,,true
AMD FX-4350,122.96,4,4.2,,125,,false
Intel Xeon E5-2650 V2,185,8,2.6,3.4,95,,true
Intel Core i7-6950X,639.04,10,3,3.5,140,,true
Intel Xeon E5-2687W V3,,10,3.1,3.5,160,,true
AMD FX-6300,78.51,6,3.5,,95,,false
Intel Core i5-7400,110,4,3,3.5,65,Intel HD Graphics 630,false
Intel Xeon E5-2687W V4,1738.69,12,3,3.5,160,,true
